"id","year","conflict_new_id","type_of_violence","side_a","side_b","latitude","longitude","country","country_id","dyad_name","deaths_a","deaths_b","deaths_civilians"
153629,2014,514,3,"Taleban","Civilians",33.266697,68.396294,"Afghanistan",700,"Taleban - Civilians",0,0,2
153630,2014,514,3,"Taleban","Civilians",33.305843,68.446963,"Afghanistan",700,"Taleban - Civilians",0,0,0
153635,2014,514,3,"Taleban","Civilians",31.00568,66.4002,"Afghanistan",700,"Taleban - Civilians",0,0,0
153638,2014,333,1,"Government of Afghanistan","Taleban",34.428844,70.45575,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,1
153639,2014,514,3,"Taleban","Civilians",34.349991,62.200001,"Afghanistan",700,"Taleban - Civilians",0,0,1
153641,2014,333,1,"Government of Afghanistan","Taleban",35.39999,71.423195,"Afghanistan",700,"Government of Afghanistan - Taleban",0,10,0
153644,2014,333,1,"Government of Afghanistan","Taleban",34.24535,70.728104,"Afghanistan",700,"Government of Afghanistan - Taleban",1,1,0
153807,2014,333,1,"Government of Afghanistan","Taleban",34.9824,69.3258,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
153808,2014,333,1,"Government of Afghanistan","Taleban",34.9862,70.7328,"Afghanistan",700,"Government of Afghanistan - Taleban",3,6,0
153811,2014,333,1,"Government of Afghanistan","Taleban",36.75,68.75,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
153812,2014,333,1,"Government of Afghanistan","Taleban",34.95,71.133333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
153813,2014,333,1,"Government of Afghanistan","Taleban",35.0,69.58333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
153814,2014,333,1,"Government of Afghanistan","Taleban",36.25,64.83333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
164626,2009,333,1,"Government of Afghanistan","Taleban",33.0,65.0,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
153816,2014,333,1,"Government of Afghanistan","Taleban",31.0,64.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
153817,2014,333,1,"Government of Afghanistan","Taleban",33.666667,69.33333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
153818,2014,333,1,"Government of Afghanistan","Taleban",36.6816,68.8426,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153820,2014,333,1,"Government of Afghanistan","Taleban",33.0,65.0,"Afghanistan",700,"Government of Afghanistan - Taleban",5,0,0
153824,2014,514,3,"Taleban","Civilians",33.4232,69.041565,"Afghanistan",700,"Taleban - Civilians",0,0,2
153825,2014,333,1,"Government of Afghanistan","Taleban",34.77067,70.364218,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
153819,2014,333,1,"Government of Afghanistan","Taleban",35.3035,71.5424,"Afghanistan",700,"Government of Afghanistan - Taleban",3,10,0
153849,2014,333,1,"Government of Afghanistan","Taleban",36.75,68.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
153854,2014,333,1,"Government of Afghanistan","Taleban",36.654765,68.566036,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
153857,2014,333,1,"Government of Afghanistan","Taleban",36.75,72.0,"Afghanistan",700,"Government of Afghanistan - Taleban",2,0,0
164627,2009,333,1,"Government of Afghanistan","Taleban",34.0,69.25,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
153859,2014,333,1,"Government of Afghanistan","Taleban",34.531094,69.162796,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,3
153864,2014,333,1,"Government of Afghanistan","Taleban",31.0,65.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
153866,2014,333,1,"Government of Afghanistan","Taleban",34.95,71.133333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153867,2014,333,1,"Government of Afghanistan","Taleban",34.783333,70.183333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153868,2014,333,1,"Government of Afghanistan","Taleban",32.83333,66.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153869,2014,333,1,"Government of Afghanistan","Taleban",33.33333,67.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153870,2014,333,1,"Government of Afghanistan","Taleban",32.25,67.25,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153871,2014,333,1,"Government of Afghanistan","Taleban",33.666667,69.33333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153893,2014,333,1,"Government of Afghanistan","Taleban",32.771851,62.753066,"Afghanistan",700,"Government of Afghanistan - Taleban",1,11,0
153881,2014,333,1,"Government of Afghanistan","Taleban",32.25,67.25,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
153883,2014,333,1,"Government of Afghanistan","Taleban",31.0,65.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
153884,2014,333,1,"Government of Afghanistan","Taleban",32.83333,66.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
153885,2014,333,1,"Government of Afghanistan","Taleban",33.33333,67.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
153886,2014,333,1,"Government of Afghanistan","Taleban",34.0,69.25,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153887,2014,333,1,"Government of Afghanistan","Taleban",34.95,71.133333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153888,2014,333,1,"Government of Afghanistan","Taleban",36.75,68.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153889,2014,333,1,"Government of Afghanistan","Taleban",34.5,62.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153898,2014,333,1,"Government of Afghanistan","Taleban",32.4915,62.2442,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
153939,2014,333,1,"Government of Afghanistan","Taleban",31.918721,67.151789,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
153909,2014,333,1,"Government of Afghanistan","Taleban",34.531094,69.162796,"Afghanistan",700,"Government of Afghanistan - Taleban",2,3,0
153914,2014,333,1,"Government of Afghanistan","Taleban",33.383334,69.883334,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,1
153916,2014,333,1,"Government of Afghanistan","Taleban",34.1029,70.401,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
153917,2014,333,1,"Government of Afghanistan","Taleban",37.0908,69.278,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
153922,2014,333,1,"Government of Afghanistan","Taleban",32.068359,66.87738,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
153924,2014,333,1,"Government of Afghanistan","Taleban",34.290316,70.761085,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
153926,2014,333,1,"Government of Afghanistan","Taleban",34.693064,70.731307,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
153928,2014,333,1,"Government of Afghanistan","Taleban",34.3354,70.7388,"Afghanistan",700,"Government of Afghanistan - Taleban",0,9,0
153942,2014,333,1,"Government of Afghanistan","Taleban",32.2824,65.5356,"Afghanistan",700,"Government of Afghanistan - Taleban",0,4,0
154189,2014,333,1,"Government of Afghanistan","Taleban",31.668196,64.353821,"Afghanistan",700,"Government of Afghanistan - Taleban",3,0,0
154190,2014,333,1,"Government of Afghanistan","Taleban",35.219,71.3635,"Afghanistan",700,"Government of Afghanistan - Taleban",0,4,0
154192,2014,333,1,"Government of Afghanistan","Taleban",33.929854,68.886195,"Afghanistan",700,"Government of Afghanistan - Taleban",3,0,0
154194,2014,333,1,"Government of Afghanistan","Taleban",34.531094,69.162796,"Afghanistan",700,"Government of Afghanistan - Taleban",0,4,0
154196,2014,333,1,"Government of Afghanistan","Taleban",33.198597,68.419701,"Afghanistan",700,"Government of Afghanistan - Taleban",0,4,0
154197,2014,333,1,"Government of Afghanistan","Taleban",33.430191,68.492889,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154198,2014,333,1,"Government of Afghanistan","Taleban",33.929385,68.659797,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154199,2014,333,1,"Government of Afghanistan","Taleban",36.5709,69.6797,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,1
154202,2014,333,1,"Government of Afghanistan","Taleban",34.87455,71.146812,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,1
154205,2014,333,1,"Government of Afghanistan","Taleban",32.945127,67.783463,"Afghanistan",700,"Government of Afghanistan - Taleban",0,6,0
154207,2014,333,1,"Government of Afghanistan","Taleban",33.414025,68.207658,"Afghanistan",700,"Government of Afghanistan - Taleban",0,4,0
154209,2014,333,1,"Government of Afghanistan","Taleban",35.734207,63.785556,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
154213,2014,333,1,"Government of Afghanistan","Taleban",35.75,69.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
154244,2014,333,1,"Government of Afghanistan","Taleban",36.75,68.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
154245,2014,333,1,"Government of Afghanistan","Taleban",31.0,65.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154246,2014,333,1,"Government of Afghanistan","Taleban",36.66667,69.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
